title,bechdel,year
Nanook of the North,1,1922
Our Hospitality,0,1923
Why Worry?,0,1923
"Silent Command, The",2,1923
La souriante Madame Beudet,3,1923
A Woman of Paris,2,1923
Safety Last!,0,1923
"Great White Silence, The",0,1924
Wild Oranges,0,1924
Die Nibelungen,2,1924
Manhandled,3,1924
"Navigator, The",0,1924
Girl Shy,0,1924
"Thief of Bagdad, The",0,1924
Sherlock Jr.,0,1924
Greed,3,1924
Help!,0,1924
Kriemhild&#39;s Revenge,2,1924
"Gold Rush, The",0,1925
Go West,0,1925
"Phantom of the Opera, The",2,1925
"Big Parade, The",2,1925
Battleship Potemkin,0,1925
Seven Chances,0,1925
"Freshman, The",0,1925
Stachka,0,1925
"Lost World, The",2,1925
"Temptress, The",1,1926
For Heaven&#39;s Sake,0,1926
Die Abenteuer des Prinzen Achmed,1,1926
So&#39;s Your Old Man,3,1926
"General, The",0,1926
Flesh and the Devil,1,1926
Nevada,0,1927
"Kid Brother, The",0,1927
My Best Girl,3,1927
It,3,1927
Downhill [When Boys Leave Home],1,1927
Abel Gance&#39;s Napoleon,2,1927
"Jazz Singer, The",1,1927
"Unknown, The",0,1927
Sunrise: A Song of Two Humans,2,1927
Metropolis,1,1927
Wings,1,1927
"Man Who Laughs, The",2,1928
"Steamboat Bill, Jr.",0,1928
"Crowd, The",1,1928
While the City Sleeps,2,1928
"Patsy, The",3,1928
Speedy,0,1928
Our Dancing Daughters,2,1928
"Cameraman, The",0,1928
Beggars of Life,0,1928
A Girl in Every Port,0,1928
"Passion of Joan of Arc, The",0,1928
"Docks of New York, The",2,1928
"Racket, The",0,1928
"Power of the Press, The",1,1928
"Circus, The",0,1928
Man with a Movie Camera,0,1929
Blackmail,2,1929
"Cocoanuts, The",2,1929
Broadway Melody,3,1929
Throw of the Dice,0,1929
Welcome Danger,0,1929
Pandora&#39;s Box (Die B&uuml;chse der Pandora),3,1929
Juno and the Paycock [The Shame of Mary Boyle],3,1929
Un chien andalou,0,1929
Ladies of Leisure,3,1930
All Quiet on the Western Front,0,1930
L&#39;Age d&#39;Or,0,1930
Morocco,1,1930
Anna Christie,3,1930
"Blue Angel, The",1,1930
Animal Crackers,3,1930
Be Yourself,2,1930
"Bat Whispers, The",3,1930
Murder!,3,1930
Min and Bill,3,1930
Skippy,3,1931
Indiscreet,3,1931
Anna Christie,3,1931
Little Caesar,1,1931
"Skin Game, The",3,1931
M&auml;dchen in Uniform,3,1931
Dracula,2,1931
A Nous la Liberte,1,1931
M,3,1931
"Public Enemy, The",3,1931
Pardon Us,0,1931
"Last Flight, The",0,1931
Cimarron,3,1931
Mata Hari,3,1931
La Chienne,3,1931
Tabu: A Story of the South Seas,0,1931
Dracula,3,1931
Rich and Strange [East of Shanghai],2,1931
"Cheat, The",3,1931
City Lights,3,1931
"Smiling Lieutenant, The",2,1931
Hyppolit a lakaj,1,1931
"Champ, The",1,1931
Frankenstein,1,1931
Monkey Business,1,1931
Night Nurse,3,1931
"Girl from Calgary, The",2,1932
"Blue Light (Das Blaue Licht), The",1,1932
Three on a Match,3,1932
Number 17,0,1932
Horse Feathers,1,1932
Thirteen Women,3,1932
Merrily We Go to Hell,3,1932
White Zombie,0,1932
Island of Lost Souls,1,1932
Freaks,2,1932
"I Was Born, But...",1,1932
I Am a Fugitive from a Chain Gang,1,1932
Shanghai Express,3,1932
"Death Kiss, The",1,1932
Boudu Saved from Drowning,1,1932
Vampyr,3,1932
"Most Dangerous Game, The",0,1932
"Age of Consent, The",2,1932
Scarface,1,1932
Grand Hotel,3,1932
"Old Dark House, The",3,1932
Love Me Tonight,2,1932
Red-Headed Woman,3,1932
Gold Diggers of 1933,3,1933
Duck Soup,1,1933
"Invisible Man, The",1,1933
"Peanut Vendor, The",0,1933
Cavalcade,3,1933
42nd Street,3,1933
A Study in Scarlet,3,1933
King Kong,0,1933
Baby Face,3,1933
Queen Christina,3,1933
"Vampire Bat, The",3,1933
"Private Life of Henry VIII., The",1,1933
Tomorrow at Seven,3,1933
Alice in Wonderland,3,1933
Little Women,3,1933
Design for Living,1,1933
Female,3,1933
Footlight Parade,3,1933
Day of Reckoning,3,1933
Cleopatra,1,1934
Mystery Liner,0,1934
Spitfire,3,1934
It Happened One Night,3,1934
"Man Who Knew Too Much, The",3,1934
L&#39;atalante,0,1934
Maniac,3,1934
Lost in the Stratosphere,2,1934
"Painted Veil, The",1,1934
"Scarlet Empress, The",3,1934
Search for Beauty,3,1934
"Lost Patrol, The",0,1934
Of Human Bondage,1,1934
Imitation of Life,3,1934
Evelyn Prentice,3,1934
"Count of Monte Cristo, The",1,1934
"Cat&#39;s-Paw, The",1,1934
Anne of Green Gables,3,1934
"Lady in Scarlet, The",2,1935
Roberta,3,1935
Naughty Marietta,3,1935
A Night At The Opera,1,1935
Top Hat,2,1935
Anna Karenina,2,1935
Mutiny on the Bounty,1,1935
Magnificent Obsession,3,1935
"Bride of Frankenstein, The",3,1935
"Riverside Murder, The",2,1935
"39 Steps, The",3,1935
Mad Love,2,1935
Wife vs. Secretary,2,1936
Fury,2,1936
"Only Son, The",3,1936
Bullets or Ballots,3,1936
Secret Agent,3,1936
Modern Times,0,1936
Swing Time,1,1936
Revolt of the Zombies,0,1936
Mr. Deeds Goes to Town,3,1936
Sabotage,3,1936
Murder at Glen Athol,3,1936
Earthworm Tractors,1,1936
Pennies from Heaven,3,1936
Theodora Goes Wild,3,1936
San Francisco,1,1936
"Great Ziegfeld, The",3,1936
"Charge of the Light Brigade, The",1,1936
"Mandarin Mystery, The",3,1936
My Man Godfrey,2,1936
"Petrified Forest, The",3,1936
These Three,2,1936
Osaka Elegy,3,1936
Dracula&#39;s Daughter,3,1936
Il caso Valdemar,0,1936
Born to Dance,3,1936
Romeo and Juliet,3,1936
Camille,3,1936
Murder at the Baskervilles (Silver Blaze),1,1937
Stella Dallas,3,1937
"Bizarre, Bizarre",3,1937
Nothing Sacred,0,1937
Stage Door,3,1937
Knight Without Armor,2,1937
A Day at the Races,2,1937
Marked Woman,3,1937
"Prisoner of Zenda, The",1,1937
Lost Horizon,2,1937
"Awful Truth, The",3,1937
Parnell,2,1937
"Girl Was Young, The",3,1937
Conquest,2,1937
Snow White and the Seven Dwarfs,3,1937
Topper,2,1937
"Life of Emile Zola, The",1,1937
Pepe le Moko,2,1937
Shall We Dance,1,1937
Make Way for Tomorrow,3,1937
Jezebel,2,1938
"Mr. Wong, Detective",1,1938
"Dawn Patrol, The",0,1938
Boys Town,0,1938
Angels with Dirty Faces,1,1938
"Baker&#39;s Wife, The",1,1938
"Lady Vanishes, The",3,1938
Holiday,3,1938
Bluebeard&#39;s Eighth Wife,2,1938
"Mad Miss Manton, The",3,1938
Bringing Up Baby,3,1938
Carefree,2,1938
"Adventures of Robin Hood, The",2,1938
Four Daughters,3,1938
"Sisters, The",2,1938
"Story of Alexander Graham Bell, The",2,1939
Stagecoach,3,1939
Love Affair,3,1939
Mr. Wong in Chinatown,1,1939
"Goodbye, Mr. Chips",2,1939
Ninotchka,3,1939
Of Mice and Men,1,1939
Dark Victory,3,1939
Destry Rides Again,3,1939
At the Circus,2,1939
Drums Along the Mohawk,2,1939
Babes in Arms,3,1939
"Wizard of Oz, The",3,1939
Dodge City,2,1939
"Rules of the Game, The",3,1939
"Hunchback of Notre Dame, The",0,1939
Nancy Drew... Reporter,3,1939
"Adventures of Sherlock Holmes, The",3,1939
"Women, The",3,1939
"Flying Deuces, The",0,1939
Jesse James,2,1939
Gulliver&#39;s Travels,0,1939
Juarez,2,1939
Wuthering Heights,2,1939
Le jour se l&egrave;ve,2,1939
Jamaica Inn,3,1939
Young Mr. Lincoln,2,1939
Mr. Smith Goes to Washington,2,1939
Gone with the Wind,3,1939
"Gorilla, The",3,1939
Essex and Elizabeth,2,1939
"Philadelphia Story, The",3,1940
Santa Fe Trail,1,1940
Boom Town,1,1940
His Girl Friday,3,1940
Knute Rockne All American,1,1940
Foreign Correspondent,1,1940
"Return of Frank James, The",0,1940
Pride and Prejudice,3,1940
"All This, and Heaven Too",2,1940
"Letter, The",2,1940
"Shop Around the Corner, The",3,1940
"Grapes of Wrath, The",3,1940
"Sea Hawk, The",3,1940
Comrade X,2,1940
"Thief of Bagdad, The",0,1940
"Mortal Storm, The",3,1940
Pinocchio,1,1940
Chamber of Horrors / Door with the Seven Locks,2,1940
Gaslight,3,1940
Fantasia,0,1940
"Ape, The",3,1940
Anne Of Windy Poplars,3,1940
"Dance, Girl, Dance",3,1940
Primrose Path,3,1940
Strange Cargo,0,1940
"Great Dictator, The",3,1940
A Chump at Oxford,0,1940
"Last Alarm, The",3,1940
Rebecca,3,1940
Murder by Invitation,3,1941
Citizen Kane,1,1941
Mr. Bug Goes to Town,1,1941
"Maltese Falcon, The",1,1941
Sullivan&#39;s Travels,3,1941
Sun valley serenade,0,1941
"Wolf Man, The",2,1941
How Green Was My Valley,3,1941
"Little Foxes, The",2,1941
Ladies In Retirement,1,1941
"Shanghai Gesture, The",3,1941
"Reluctant Dragon, The",3,1941
"Lady Eve, The",2,1941
Hold That Ghost,3,1941
Cheers for Miss Bishop,3,1941
Men of Boys Town,1,1941
Suspicion,3,1941
Buck Privates,3,1941
King of the Zombies,3,1941
High Sierra,1,1941
Two-Faced Woman,2,1941
49th Parallel,0,1941
Meet John Doe,3,1941
Dumbo,2,1941
"Devil and Miss Jones, The",3,1941
Tales of Manhattan,2,1942
"Major and the Minor, The",3,1942
"Now, Voyager",3,1942
There Was a Father,0,1942
Son of Fury: The Story of Benjamin Blake,1,1942
Bambi,1,1942
Black Dragons,0,1942
To Be or Not to Be,0,1942
Casablanca,1,1942
Sherlock Holmes and the Secret Weapon,1,1942
Woman of the Year,3,1942
"Corpse Vanishes, The",1,1942
Cat People,3,1942
"Magnificent Ambersons, The",2,1942
Saboteur,1,1942
I Married an Angel,3,1942
Saludos Amigos,0,1942
For Me and My Gal,3,1942
"Man Who Came to Dinner, The",3,1942
Mrs. Miniver,3,1942
"Seventh Victim, The",3,1943
Old Acquaintance,3,1943
Le Corbeau: The Raven,3,1943
Fires Were Started,0,1943
Jane Eyre,3,1943
Day of Wrath,3,1943
Shadow of a Doubt,3,1943
Guadalcanal Diary,0,1943
Girl Crazy,1,1943
"Life and Death of Colonel Blimp, The",2,1943
"Sky&#39;s the Limit, The",1,1943
China,3,1943
So Proudly We Hail!,3,1943
Cry &#39;Havoc&#39;,3,1943
I Walked with a Zombie,3,1943
Sahara,0,1943
Ossessione,1,1943
Tender Comrade,3,1943
Angels of Sin,3,1943
Watch on the Rhine,3,1943
La main du diable,1,1943
"More the Merrier, The",1,1943
Judo Saga (Sanshiro Sugata),0,1943
"Ox-Bow Incident, The",1,1943
Lifeboat,3,1944
Die Feuerzangenbowle,1,1944
"Most Beautiful (Ichiban utsukushiku), The",3,1944
Window in the Window,1,1944
Cover Girl,3,1944
"Three Caballeros, The",0,1944
Mr. Skeffington,2,1944
Arsenic and Old Lace,3,1944
Double Indemnity,3,1944
Torment,0,1944
I&#39;ll Be Seeing You,3,1944
"Uninvited, The",3,1944
A Canterbury Tale,3,1944
Meet Me in St. Louis,3,1944
Minstrel Man,1,1944
Hail the Conquering Hero,2,1944
To Have and Have Not,3,1944
Laura,3,1944
National Velvet,3,1944
Since You Went Away,3,1944
Keep Your Powder Dry,3,1945
"Rome, Open City",3,1945
Thin Man Goes Home,2,1945
I Know Where I&#39;m Going,3,1945
"Enchanted Cottage, The",3,1945
Anchors Aweigh,0,1945
Detour,1,1945
Dead of Night,3,1945
"Seventh Veil, The",3,1945
"Woman in Green, The",3,1945
"Wicked Lady, The",3,1945
Les dames du Bois de Boulogne,3,1945
Mildred Pierce,3,1945
Brief Encounter,3,1945
"Objective, Burma!",0,1945
Children of Paradise,2,1945
Spellbound,3,1945
Scarlet Street,3,1945
"Red Dragon, The",1,1945
Along Came Jones,0,1945
Isle of the Dead,3,1945
"Lost Weekend, The",2,1945
Stairway to Heaven,0,1946
Devotion,3,1946
Terror by Night,1,1946
Gilda,0,1946
Deception,0,1946
Dressed to Kill,3,1946
"Postman Always Rings Twice, The",1,1946
Great Expectations,2,1946
"Years Between, The",3,1946
It&#39;s a Wonderful Life,3,1946
"Strange Woman, The",3,1946
Two Sisters from Boston,3,1946
Duel in the sun,2,1946
"Jolson Story, The",1,1946
Make Mine Music,1,1946
Beauty and the Beast,3,1946
"Best Years of Our Lives, The",2,1946
"Dark Corner, The",1,1946
"Stranger, The",3,1946
"Harvey Girls, The",3,1946
"Chase, The",1,1946
My Darling Clementine,1,1946
Notorious,2,1946
Song of the South,2,1946
"Big Sleep, The",1,1946
Gentleman&#39;s Agreement,1,1947
"Paradine Case, The",2,1947
Body and Soul,3,1947
"Egg and I, The",3,1947
Calendar Girl,2,1947
"Shocking Miss Pilgrim, The",3,1947
"Ghost and Mrs. Muir, The",3,1947
"Unfinished Dance, The",3,1947
Fun &amp; Fancy Free,1,1947
Build My Gallows High,2,1947
Nada,3,1947
Gunfighters,2,1947
Black Narcissus,3,1947
"Lady from Shanghai, The",0,1947
Dishonored Lady,3,1947
Odd Man Out,2,1947
Good News,2,1947
Crossfire,2,1947
Miracle on 34th Street,3,1947
"Exile, The",1,1947
Red River,0,1948
Mr. Blandings Builds His Dream House,3,1948
Rudolph the Red-Nosed Reindeer,0,1948
Melody Time,1,1948
Bicycle Thieves,2,1948
"Treasure of the Sierra Madre, The",0,1948
It Happened in Europe,0,1948
Enchantment,3,1948
Anna Karenina,2,1948
Easter Parade,3,1948
I Remember Mama,3,1948
"Fuller Brush Man, The",1,1948
Casbah,1,1948
"Red Shoes, The",3,1948
Call Northside 777,1,1948
Bonnie Prince Charlie,2,1948
Command Decision,0,1948
Act of Violence,2,1948
Hamlet,1,1948
Macbeth,1,1948
Joan of Arc,3,1948
"Snake Pit, The",3,1948
Rope,0,1948
"Fountainhead, The",1,1949
I Was a Male War Bride,2,1949
"Adventures of Ichabod and Mr. Toad, The",0,1949
"Heiress, The",3,1949
Pinky,3,1949
Little Women,3,1949
All the King&#39;s Men,1,1949
Caught,3,1949
"Barkleys of Broadway, The",3,1949
Adam&#39;s Rib,3,1949
Under Capricorn,3,1949
Mighty Joe Young,0,1949
A Letter to Three Wives,3,1949
Tarzan&#39;s Magic Fountain,0,1949
On the Town,3,1949
"Man on the Eiffel Tower, The",2,1949
"Set-Up, The",0,1949
Kind Hearts and Coronets,1,1949
Late Spring,3,1949
"Third Man, The",0,1949
Odette,3,1950
Orpheus,2,1950
No Way Out,3,1950
Summer Stock,3,1950
In a Lonely Place,2,1950
Les enfants terribles,3,1950
D.O.A.,1,1950
Tarzan and the Slave Girl,0,1950
Harvey,2,1950
Scandal,3,1950
Stage Fright,3,1950
Rashomon,0,1950
Cinderella,3,1950
"Asphalt Jungle, The",1,1950
Born Yesterday,3,1950
Sunset Blvd.,3,1950
All About Eve,3,1950
Three Secrets,3,1950
"Flying Saucer, The",1,1950
"Idiot, The",3,1951
Cause for Alarm!,3,1951
Ace In The Hole,2,1951
Strangers on a Train,2,1951
"Day the Earth Stood Still, The",3,1951
"African Queen, The",0,1951
A Streetcar Named Desire,3,1951
Tarzan&#39;s Peril,1,1951
Early Summer,3,1951
Bellissima,3,1951
Westward the Women,3,1951
Diary of a Country Priest,1,1951
Quo Vadis,3,1951
"Thing from Another World, The",1,1951
An American in Paris,1,1951
Alice in Wonderland,3,1951
Take Care of My Little Girl,3,1951
Show Boat,3,1951
Surcos,3,1951
Lovely to Look at,3,1952
Europe &#39;51,3,1952
Forbidden Games,3,1952
"Big Sky, The",0,1952
"Bad and the Beautiful, The",2,1952
"Quiet Man, The",1,1952
"Greatest Show on Earth, The",2,1952
Limelight,1,1952
"Magic Box, The",2,1952
Singin&#39; in the Rain,3,1952
Ikiru,1,1952
Clash by Night,3,1952
High Noon,2,1952
"Snows of Kilimanjaro, The",1,1952
Tarzan&#39;s Savage Fury,0,1952
How to Marry a Millionaire,3,1953
Calamity Jane,3,1953
Tarzan and the She-Devil,1,1953
Shane,1,1953
Gentlemen Prefer Blondes,3,1953
"Band Wagon, The",1,1953
From Here to Eternity,3,1953
Inferno,0,1953
Tokyo Story,3,1953
"Hitch-Hiker, The",0,1953
Mr. Hulot&#39;s Holiday,3,1953
"War of the Worlds, The",1,1953
Mogambo,2,1953
"Cruel Sea, The",3,1953
Julius Caesar,1,1953
"Big Heat, The",3,1953
"Beast from 20,000 Fathoms, The",1,1953
Stalag 17,0,1953
I Confess,1,1953
Salome,3,1953
"5,000 Fingers of Dr. T., The",0,1953
"earrings of Madame de..., The",3,1953
Le Salaire de la Peur,1,1953
Peter Pan,3,1953
Fear and Desire,0,1953
Glen or Glenda,0,1953
Roman holiday,3,1953
"Wild One, The",1,1953
Summer with Monika,3,1953
House of Wax,3,1953
Mesa of Lost Women,1,1953
Ugetsu,2,1953
Miss Sadie Thompson,3,1953
It Came from Outer Space,2,1953
Pickup on South Street,3,1953
Animal Farm,0,1954
Attila,2,1954
Late Chrysanthemuns,3,1954
An American in Rome,1,1954
Sabrina,3,1954
"Caine Mutiny, The",1,1954
Touchez pas au grisbi,1,1954
Knock on Wood,1,1954
Them!,1,1954
Hobson&#39;s Choice,3,1954
Shichinin no samurai,0,1954
Rear Window,3,1954
Carmen Jones,3,1954
Gojira,1,1954
Three Coins in the Fountain,3,1954
Salt of the Earth,3,1954
On the Waterfront,0,1954
Executive Suite,2,1954
Seven Brides for Seven Brothers,3,1954
White Christmas,3,1954
Johnny Guitar,2,1954
Dial M for Murder,0,1954
A Star Is Born,1,1954
Creature from the Black Lagoon,0,1954
Jail Bait,3,1954
20000 Leagues Under the Sea,0,1954
Comicos,3,1954
"Glenn Miller Story, The",2,1954
Miseria e nobilta,3,1954
Journey to Italy,3,1954
Uwasa no onna,3,1954
Phffft,2,1954
Godzilla Raids Again,2,1955
Not as a Stranger,2,1955
We&#39;re No Angels,3,1955
"Trouble with Harry, The",2,1955
"Big Combo, The",2,1955
Diabolique,3,1955
Guys and Dolls,3,1955
Les grandes manoeuvres,3,1955
"Glass Slipper, The",3,1955
"Night of the Hunter, The",3,1955
"Prisoner, The",0,1955
"Ladykillers, The",3,1955
Summertime,3,1955
Marty,3,1955
"Seven Year Itch, The",1,1955
Rebel Without a Cause,1,1955
Rififi,1,1955
Oklahoma!,3,1955
This Island Earth,0,1955
Sommarnattens leende (Smiles of a Summer Night),2,1955
Bride of the Monster,3,1955
Pather Panchali,3,1955
"Dam Busters, The",1,1955
My Sister Eileen,3,1955
To Catch a Thief,3,1955
Killer&#39;s Kiss,1,1955
"Fast and the Furious, The",3,1955
Tarantula,0,1955
Daddy Long Legs,3,1955
"Prodigal, The",3,1955
Lady and the Tramp,2,1955
"Man Who Knew Too Much, The",2,1956
"King and I, The",2,1956
Aparajito,3,1956
Eyewitness,3,1956
Calle mayor [Main Street],3,1956
...And God Created Woman,3,1956
Saboteur,1,1956
"Iron Petticoat, The",1,1956
"Bad Seed, The",3,1956
"Unguarded Moment, The",1,1956
"Spanish Gardener, The",2,1956
Indestructible Man,1,1956
War and Peace,3,1956
Bigger Than Life,0,1956
"Proud and Profane, The",3,1956
High Society,3,1956
Rodan,1,1956
"Man Who Never Was, The",3,1956
Invasion of the Body Snatchers,3,1956
"Court Jester, The",2,1956
La banda degli onesti,2,1956
Gunslinger,3,1956
"Searchers, The",3,1956
Bus Stop,3,1956
Flowing,3,1956
"Ten Commandments, The",2,1956
"Wrong Man, The",1,1956
"Killing, The",1,1956
Sissi - The Young Empress,3,1956
Forbidden Planet,0,1956
"Captain from Kopenick, The",1,1956
Around the World in Eighty Days,0,1956
Un condamne a mort s&#39;est echappe ou Le vent souffle ou il veut,0,1956
"Enemy Below, The",0,1957
Fire Down Below,0,1957
Danger stalks near,3,1957
"Seventh Seal, The",1,1957
Three Faces of Eve,0,1957
"Incredible Shrinking Man, The",0,1957
Sweet Smell of Success,1,1957
Funny Face,3,1957
"Mysterians, The",3,1957
Kronos,0,1957
"Cranes Are Flying, The",3,1957
Island in the Sun,3,1957
Old Yeller,1,1957
Sayonara,2,1957
Nights of Cabiria,3,1957
An Affair to Remember,2,1957
Kiss Them for Me,2,1957
"Heaven Knows, Mr. Allison",0,1957
Oedipus Rex,1,1957
A Face in the Crowd,1,1957
Sorority Girl,3,1957
"True Story of Jesse James, The",2,1957
Amanecer en Puerta Oscura,3,1957
"Prince and the Showgirl, The",3,1957
El vampiro,3,1957
Forty Guns,2,1957
"Bridge on the River Kwai, The",1,1957
Desk Set,3,1957
Smultronst&auml;llet (Wild Strawberries),2,1957
Night of the Demon,3,1957
12 Angry Men,0,1957
Witness for the Prosecution,1,1957
Throne of Blood,0,1957
Kanal,1,1957
Tammy and the Bachelor,3,1957
Paths of Glory,0,1957
"Hidden Fortress, The",0,1958
South Pacific,3,1958
I Bury the Living,1,1958
I Want To Live!,3,1958
Run Silent Run Deep,0,1958
Touch of Evil,1,1958
Mon Oncle,3,1958
Brink of Life,3,1958
Separate Tables,3,1958
"Vikings, The",2,1958
Indiscreet,3,1958
"Defiant Ones, The",0,1958
"Wild Women of Wongo, The",3,1958
Vertigo,1,1958
"Fabulous World of Jules Verne, The",0,1958
Auntie Mame,3,1958
Blood of the Vampire,0,1958
"Inn of the Sixth Happiness, The",3,1958
Love Is My Profession,3,1958
Gigi,2,1958
"Screaming Skull, The",2,1958
Dracula (Horror of Dracula),3,1958
"Fly, The",2,1958
Cat on a Hot Tin Roof,3,1958
Teacher&#39;s Pet,1,1958
M&auml;dchen in Uniform,3,1958
It! The Terror from Beyond Space,1,1958
"Day the Sky Exploded, The",1,1958
Plan 9 from Outer Space,1,1959
Journey to the Center of the Earth,1,1959
"Bridge, The",3,1959
"Great War, The",1,1959
Rio Bravo,1,1959
"Suddenly, Last Summer",3,1959
Apur Sansar,0,1959
Battle in Outer Space,1,1959
